id,appeal_text,original_text,category,sentiment,urgency,is_escalated,lemmatized
39,Здравствуйте. У меня оплата и финансы. Как оплатить общежитие.,Здравствуйте. У меня оплата и финансы. Как оплатить общежитие.,Оплата и финансы,neutral,high,False,здравствовать у я оплата и финансы как оплатить общежитие
40,Здравствуйте. У меня расписание. Не могу найти расписание на следующую неделю.,Здравствуйте. У меня расписание. Не могу найти расписание на следующую неделю.,Расписание,positive,medium,True,здравствовать у я расписание не мочь найти расписание на следующий неделя
41,"Здравствуйте. У меня расписание. Расписание сдвинулось, занятия отменили. Это очень срочно и неудобно!","Здравствуйте. У меня расписание. Расписание сдвинулось, занятия отменили. Это очень срочно и неудобно!",Расписание,negative,high,False,здравствовать у я расписание расписание сдвинуться занятие отменить это очень срочно и неудобный
42,Здравствуйте. У меня другое. Проблема.,Здравствуйте. У меня другое. Проблема.,Другое,neutral,high,False,здравствовать у я другой проблема
43,"Здравствуйте. У меня расписание. Расписание сдвинулось, занятия отменили.","Здравствуйте. У меня расписание. Расписание сдвинулось, занятия отменили.",Расписание,neutral,medium,False,здравствовать у я расписание расписание сдвинуться занятие отменить
44,Здравствуйте. У меня поступление. Проблема.,Здравствуйте. У меня поступление. Проблема.,Поступление,neutral,high,False,здравствовать у я поступление проблема
45,Здравствуйте. У меня технические проблемы. Проблема.,Здравствуйте. У меня технические проблемы. Проблема.,Технические проблемы,neutral,medium,False,здравствовать у я технический проблема проблема
46,Здравствуйте. У меня технические проблемы. Проблема.,Здравствуйте. У меня технические проблемы. Проблема.,Технические проблемы,neutral,high,False,здравствовать у я технический проблема проблема
47,Здравствуйте. У меня документы и справки. Не могу получить академическую справку. Это очень срочно и неудобно!,Здравствуйте. У меня документы и справки. Не могу получить академическую справку. Это очень срочно и неудобно!,Документы и справки,negative,high,False,здравствовать у я документ и справка не мочь получить академический справка это очень срочно и неудобный
48,Здравствуйте. У меня другое. Проблема.,Здравствуйте. У меня другое. Проблема.,Другое,neutral,low,False,здравствовать у я другой проблема
49,Здравствуйте. У меня расписание. Когда будет экзамен по .... Это очень срочно и неудобно!,Здравствуйте. У меня расписание. Когда будет экзамен по .... Это очень срочно и неудобно!,Расписание,negative,low,False,здравствовать у я расписание когда быть экзамен по .... это очень срочно и неудобный
50,Здравствуйте. У меня общежитие. Проблема.,Здравствуйте. У меня общежитие. Проблема.,Общежитие,neutral,low,False,здравствовать у я общежитие проблема
51,Здравствуйте. У меня технические проблемы. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня технические проблемы. Проблема. Это очень срочно и неудобно!,Технические проблемы,negative,low,False,здравствовать у я технический проблема проблема это очень срочно и неудобный
52,Здравствуйте. У меня преподаватели. Проблема.,Здравствуйте. У меня преподаватели. Проблема.,Преподаватели,positive,medium,False,здравствовать у я преподаватель проблема
53,Здравствуйте. У меня документы и справки. Не могу получить академическую справку.,Здравствуйте. У меня документы и справки. Не могу получить академическую справку.,Документы и справки,neutral,low,False,здравствовать у я документ и справка не мочь получить академический справка
54,Здравствуйте. У меня другое. Проблема.,Здравствуйте. У меня другое. Проблема.,Другое,positive,low,False,здравствовать у я другой проблема
55,Здравствуйте. У меня технические проблемы. Проблема.,Здравствуйте. У меня технические проблемы. Проблема.,Технические проблемы,positive,medium,True,здравствовать у я технический проблема проблема
56,Здравствуйте. У меня поступление. Проблема.,Здравствуйте. У меня поступление. Проблема.,Поступление,positive,low,False,здравствовать у я поступление проблема
57,Здравствуйте. У меня поступление. Проблема.,Здравствуйте. У меня поступление. Проблема.,Поступление,neutral,medium,False,здравствовать у я поступление проблема
58,Здравствуйте. У меня расписание. Когда будет экзамен по .... Это очень срочно и неудобно!,Здравствуйте. У меня расписание. Когда будет экзамен по .... Это очень срочно и неудобно!,Расписание,negative,high,False,здравствовать у я расписание когда быть экзамен по .... это очень срочно и неудобный
59,Здравствуйте. У меня документы и справки. Нужна справка 2-НДФЛ.,Здравствуйте. У меня документы и справки. Нужна справка 2-НДФЛ.,Документы и справки,neutral,medium,True,здравствовать у я документ и справка нужный справка 2-ндфл
60,Здравствуйте. У меня поступление. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня поступление. Проблема. Это очень срочно и неудобно!,Поступление,negative,high,False,здравствовать у я поступление проблема это очень срочно и неудобный
61,Здравствуйте. У меня преподаватели. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня преподаватели. Проблема. Это очень срочно и неудобно!,Преподаватели,negative,low,False,здравствовать у я преподаватель проблема это очень срочно и неудобный
62,Здравствуйте. У меня преподаватели. Проблема.,Здравствуйте. У меня преподаватели. Проблема.,Преподаватели,neutral,medium,False,здравствовать у я преподаватель проблема
63,Здравствуйте. У меня преподаватели. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня преподаватели. Проблема. Это очень срочно и неудобно!,Преподаватели,negative,medium,False,здравствовать у я преподаватель проблема это очень срочно и неудобный
64,Здравствуйте. У меня другое. Проблема.,Здравствуйте. У меня другое. Проблема.,Другое,neutral,high,False,здравствовать у я другой проблема
65,Здравствуйте. У меня преподаватели. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня преподаватели. Проблема. Это очень срочно и неудобно!,Преподаватели,negative,low,False,здравствовать у я преподаватель проблема это очень срочно и неудобный
66,Здравствуйте. У меня преподаватели. Проблема.,Здравствуйте. У меня преподаватели. Проблема.,Преподаватели,positive,medium,False,здравствовать у я преподаватель проблема
67,Здравствуйте. У меня документы и справки. Не могу получить академическую справку.,Здравствуйте. У меня документы и справки. Не могу получить академическую справку.,Документы и справки,positive,high,False,здравствовать у я документ и справка не мочь получить академический справка
68,Здравствуйте. У меня общежитие. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня общежитие. Проблема. Это очень срочно и неудобно!,Общежитие,negative,medium,False,здравствовать у я общежитие проблема это очень срочно и неудобный
69,Здравствуйте. У меня оплата и финансы. Когда вернут переплату.,Здравствуйте. У меня оплата и финансы. Когда вернут переплату.,Оплата и финансы,positive,medium,False,здравствовать у я оплата и финансы когда вернуть переплата
70,Здравствуйте. У меня другое. Проблема.,Здравствуйте. У меня другое. Проблема.,Другое,neutral,medium,False,здравствовать у я другой проблема
71,Здравствуйте. У меня оплата и финансы. Как оплатить общежитие.,Здравствуйте. У меня оплата и финансы. Как оплатить общежитие.,Оплата и финансы,positive,medium,False,здравствовать у я оплата и финансы как оплатить общежитие
72,Здравствуйте. У меня поступление. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня поступление. Проблема. Это очень срочно и неудобно!,Поступление,negative,high,False,здравствовать у я поступление проблема это очень срочно и неудобный
73,Здравствуйте. У меня документы и справки. Нужна справка 2-НДФЛ. Это очень срочно и неудобно!,Здравствуйте. У меня документы и справки. Нужна справка 2-НДФЛ. Это очень срочно и неудобно!,Документы и справки,negative,medium,True,здравствовать у я документ и справка нужный справка 2-ндфл это очень срочно и неудобный
74,"Здравствуйте. У меня расписание. Расписание сдвинулось, занятия отменили.","Здравствуйте. У меня расписание. Расписание сдвинулось, занятия отменили.",Расписание,neutral,high,True,здравствовать у я расписание расписание сдвинуться занятие отменить
75,Здравствуйте. У меня другое. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня другое. Проблема. Это очень срочно и неудобно!,Другое,negative,low,True,здравствовать у я другой проблема это очень срочно и неудобный
76,Здравствуйте. У меня оплата и финансы. Не прошла оплата за обучение. Это очень срочно и неудобно!,Здравствуйте. У меня оплата и финансы. Не прошла оплата за обучение. Это очень срочно и неудобно!,Оплата и финансы,negative,medium,True,здравствовать у я оплата и финансы не пройти оплата за обучение это очень срочно и неудобный
77,Здравствуйте. У меня оплата и финансы. Когда вернут переплату.,Здравствуйте. У меня оплата и финансы. Когда вернут переплату.,Оплата и финансы,neutral,high,False,здравствовать у я оплата и финансы когда вернуть переплата
78,Здравствуйте. У меня расписание. Не могу найти расписание на следующую неделю. Это очень срочно и неудобно!,Здравствуйте. У меня расписание. Не могу найти расписание на следующую неделю. Это очень срочно и неудобно!,Расписание,negative,low,False,здравствовать у я расписание не мочь найти расписание на следующий неделя это очень срочно и неудобный
79,Здравствуйте. У меня расписание. Когда будет экзамен по ....,Здравствуйте. У меня расписание. Когда будет экзамен по ....,Расписание,neutral,high,False,здравствовать у я расписание когда быть экзамен по ....
80,Здравствуйте. У меня технические проблемы. Проблема.,Здравствуйте. У меня технические проблемы. Проблема.,Технические проблемы,neutral,high,False,здравствовать у я технический проблема проблема
81,Здравствуйте. У меня документы и справки. Не могу получить академическую справку.,Здравствуйте. У меня документы и справки. Не могу получить академическую справку.,Документы и справки,neutral,medium,False,здравствовать у я документ и справка не мочь получить академический справка
82,Здравствуйте. У меня оплата и финансы. Когда вернут переплату. Это очень срочно и неудобно!,Здравствуйте. У меня оплата и финансы. Когда вернут переплату. Это очень срочно и неудобно!,Оплата и финансы,negative,medium,False,здравствовать у я оплата и финансы когда вернуть переплата это очень срочно и неудобный
83,Здравствуйте. У меня общежитие. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня общежитие. Проблема. Это очень срочно и неудобно!,Общежитие,negative,high,True,здравствовать у я общежитие проблема это очень срочно и неудобный
84,Здравствуйте. У меня общежитие. Проблема.,Здравствуйте. У меня общежитие. Проблема.,Общежитие,neutral,medium,True,здравствовать у я общежитие проблема
85,Здравствуйте. У меня расписание. Не могу найти расписание на следующую неделю. Это очень срочно и неудобно!,Здравствуйте. У меня расписание. Не могу найти расписание на следующую неделю. Это очень срочно и неудобно!,Расписание,negative,high,True,здравствовать у я расписание не мочь найти расписание на следующий неделя это очень срочно и неудобный
86,Здравствуйте. У меня другое. Проблема.,Здравствуйте. У меня другое. Проблема.,Другое,positive,medium,False,здравствовать у я другой проблема
87,Здравствуйте. У меня другое. Проблема.,Здравствуйте. У меня другое. Проблема.,Другое,neutral,medium,False,здравствовать у я другой проблема
88,Здравствуйте. У меня технические проблемы. Проблема.,Здравствуйте. У меня технические проблемы. Проблема.,Технические проблемы,neutral,high,True,здравствовать у я технический проблема проблема
89,Здравствуйте. У меня преподаватели. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня преподаватели. Проблема. Это очень срочно и неудобно!,Преподаватели,negative,high,True,здравствовать у я преподаватель проблема это очень срочно и неудобный
90,Здравствуйте. У меня поступление. Проблема.,Здравствуйте. У меня поступление. Проблема.,Поступление,positive,high,True,здравствовать у я поступление проблема
91,Здравствуйте. У меня оплата и финансы. Когда вернут переплату. Это очень срочно и неудобно!,Здравствуйте. У меня оплата и финансы. Когда вернут переплату. Это очень срочно и неудобно!,Оплата и финансы,negative,medium,True,здравствовать у я оплата и финансы когда вернуть переплата это очень срочно и неудобный
92,Здравствуйте. У меня преподаватели. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня преподаватели. Проблема. Это очень срочно и неудобно!,Преподаватели,negative,medium,False,здравствовать у я преподаватель проблема это очень срочно и неудобный
93,Здравствуйте. У меня оплата и финансы. Не прошла оплата за обучение. Это очень срочно и неудобно!,Здравствуйте. У меня оплата и финансы. Не прошла оплата за обучение. Это очень срочно и неудобно!,Оплата и финансы,negative,high,False,здравствовать у я оплата и финансы не пройти оплата за обучение это очень срочно и неудобный
94,Здравствуйте. У меня другое. Проблема.,Здравствуйте. У меня другое. Проблема.,Другое,neutral,high,True,здравствовать у я другой проблема
95,Здравствуйте. У меня общежитие. Проблема.,Здравствуйте. У меня общежитие. Проблема.,Общежитие,positive,low,False,здравствовать у я общежитие проблема
96,Здравствуйте. У меня технические проблемы. Проблема.,Здравствуйте. У меня технические проблемы. Проблема.,Технические проблемы,neutral,medium,False,здравствовать у я технический проблема проблема
97,Здравствуйте. У меня расписание. Не могу найти расписание на следующую неделю.,Здравствуйте. У меня расписание. Не могу найти расписание на следующую неделю.,Расписание,neutral,low,False,здравствовать у я расписание не мочь найти расписание на следующий неделя
98,Здравствуйте. У меня расписание. Когда будет экзамен по ....,Здравствуйте. У меня расписание. Когда будет экзамен по ....,Расписание,neutral,high,False,здравствовать у я расписание когда быть экзамен по ....
99,Здравствуйте. У меня поступление. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня поступление. Проблема. Это очень срочно и неудобно!,Поступление,negative,high,False,здравствовать у я поступление проблема это очень срочно и неудобный
100,"Здравствуйте. У меня расписание. Расписание сдвинулось, занятия отменили.","Здравствуйте. У меня расписание. Расписание сдвинулось, занятия отменили.",Расписание,neutral,medium,False,здравствовать у я расписание расписание сдвинуться занятие отменить
101,Здравствуйте. У меня оплата и финансы. Когда вернут переплату. Это очень срочно и неудобно!,Здравствуйте. У меня оплата и финансы. Когда вернут переплату. Это очень срочно и неудобно!,Оплата и финансы,negative,medium,False,здравствовать у я оплата и финансы когда вернуть переплата это очень срочно и неудобный
102,Здравствуйте. У меня преподаватели. Проблема.,Здравствуйте. У меня преподаватели. Проблема.,Преподаватели,positive,high,False,здравствовать у я преподаватель проблема
103,Здравствуйте. У меня преподаватели. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня преподаватели. Проблема. Это очень срочно и неудобно!,Преподаватели,negative,high,False,здравствовать у я преподаватель проблема это очень срочно и неудобный
104,Здравствуйте. У меня другое. Проблема.,Здравствуйте. У меня другое. Проблема.,Другое,neutral,medium,True,здравствовать у я другой проблема
105,Здравствуйте. У меня расписание. Не могу найти расписание на следующую неделю.,Здравствуйте. У меня расписание. Не могу найти расписание на следующую неделю.,Расписание,neutral,medium,False,здравствовать у я расписание не мочь найти расписание на следующий неделя
106,Здравствуйте. У меня технические проблемы. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня технические проблемы. Проблема. Это очень срочно и неудобно!,Технические проблемы,negative,medium,False,здравствовать у я технический проблема проблема это очень срочно и неудобный
107,Здравствуйте. У меня расписание. Не могу найти расписание на следующую неделю. Это очень срочно и неудобно!,Здравствуйте. У меня расписание. Не могу найти расписание на следующую неделю. Это очень срочно и неудобно!,Расписание,negative,medium,False,здравствовать у я расписание не мочь найти расписание на следующий неделя это очень срочно и неудобный
108,Здравствуйте. У меня поступление. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня поступление. Проблема. Это очень срочно и неудобно!,Поступление,negative,high,True,здравствовать у я поступление проблема это очень срочно и неудобный
109,Здравствуйте. У меня преподаватели. Проблема.,Здравствуйте. У меня преподаватели. Проблема.,Преподаватели,positive,high,False,здравствовать у я преподаватель проблема
110,Здравствуйте. У меня поступление. Проблема.,Здравствуйте. У меня поступление. Проблема.,Поступление,neutral,medium,False,здравствовать у я поступление проблема
111,Здравствуйте. У меня другое. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня другое. Проблема. Это очень срочно и неудобно!,Другое,negative,high,False,здравствовать у я другой проблема это очень срочно и неудобный
112,Здравствуйте. У меня документы и справки. Нужна справка 2-НДФЛ. Это очень срочно и неудобно!,Здравствуйте. У меня документы и справки. Нужна справка 2-НДФЛ. Это очень срочно и неудобно!,Документы и справки,negative,low,False,здравствовать у я документ и справка нужный справка 2-ндфл это очень срочно и неудобный
113,Здравствуйте. У меня преподаватели. Проблема.,Здравствуйте. У меня преподаватели. Проблема.,Преподаватели,positive,low,False,здравствовать у я преподаватель проблема
114,Здравствуйте. У меня оплата и финансы. Когда вернут переплату. Это очень срочно и неудобно!,Здравствуйте. У меня оплата и финансы. Когда вернут переплату. Это очень срочно и неудобно!,Оплата и финансы,negative,low,False,здравствовать у я оплата и финансы когда вернуть переплата это очень срочно и неудобный
115,Здравствуйте. У меня общежитие. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня общежитие. Проблема. Это очень срочно и неудобно!,Общежитие,negative,medium,False,здравствовать у я общежитие проблема это очень срочно и неудобный
116,Здравствуйте. У меня преподаватели. Проблема.,Здравствуйте. У меня преподаватели. Проблема.,Преподаватели,neutral,medium,True,здравствовать у я преподаватель проблема
117,Здравствуйте. У меня расписание. Не могу найти расписание на следующую неделю.,Здравствуйте. У меня расписание. Не могу найти расписание на следующую неделю.,Расписание,neutral,medium,True,здравствовать у я расписание не мочь найти расписание на следующий неделя
118,Здравствуйте. У меня поступление. Проблема.,Здравствуйте. У меня поступление. Проблема.,Поступление,positive,medium,False,здравствовать у я поступление проблема
119,Здравствуйте. У меня технические проблемы. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня технические проблемы. Проблема. Это очень срочно и неудобно!,Технические проблемы,negative,low,False,здравствовать у я технический проблема проблема это очень срочно и неудобный
120,Здравствуйте. У меня технические проблемы. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня технические проблемы. Проблема. Это очень срочно и неудобно!,Технические проблемы,negative,high,False,здравствовать у я технический проблема проблема это очень срочно и неудобный
121,Здравствуйте. У меня поступление. Проблема.,Здравствуйте. У меня поступление. Проблема.,Поступление,neutral,high,False,здравствовать у я поступление проблема
122,Здравствуйте. У меня поступление. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня поступление. Проблема. Это очень срочно и неудобно!,Поступление,negative,high,False,здравствовать у я поступление проблема это очень срочно и неудобный
123,Здравствуйте. У меня оплата и финансы. Как оплатить общежитие.,Здравствуйте. У меня оплата и финансы. Как оплатить общежитие.,Оплата и финансы,neutral,medium,False,здравствовать у я оплата и финансы как оплатить общежитие
124,Здравствуйте. У меня расписание. Не могу найти расписание на следующую неделю.,Здравствуйте. У меня расписание. Не могу найти расписание на следующую неделю.,Расписание,neutral,high,False,здравствовать у я расписание не мочь найти расписание на следующий неделя
125,Здравствуйте. У меня расписание. Не могу найти расписание на следующую неделю.,Здравствуйте. У меня расписание. Не могу найти расписание на следующую неделю.,Расписание,positive,high,False,здравствовать у я расписание не мочь найти расписание на следующий неделя
126,Здравствуйте. У меня другое. Проблема.,Здравствуйте. У меня другое. Проблема.,Другое,neutral,medium,True,здравствовать у я другой проблема
127,Здравствуйте. У меня преподаватели. Проблема.,Здравствуйте. У меня преподаватели. Проблема.,Преподаватели,positive,high,False,здравствовать у я преподаватель проблема
128,Здравствуйте. У меня технические проблемы. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня технические проблемы. Проблема. Это очень срочно и неудобно!,Технические проблемы,negative,high,True,здравствовать у я технический проблема проблема это очень срочно и неудобный
129,Здравствуйте. У меня общежитие. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня общежитие. Проблема. Это очень срочно и неудобно!,Общежитие,negative,medium,False,здравствовать у я общежитие проблема это очень срочно и неудобный
130,Здравствуйте. У меня другое. Проблема.,Здравствуйте. У меня другое. Проблема.,Другое,neutral,low,False,здравствовать у я другой проблема
131,Здравствуйте. У меня другое. Проблема.,Здравствуйте. У меня другое. Проблема.,Другое,positive,medium,False,здравствовать у я другой проблема
132,Здравствуйте. У меня другое. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня другое. Проблема. Это очень срочно и неудобно!,Другое,negative,medium,False,здравствовать у я другой проблема это очень срочно и неудобный
133,Здравствуйте. У меня технические проблемы. Проблема.,Здравствуйте. У меня технические проблемы. Проблема.,Технические проблемы,neutral,high,False,здравствовать у я технический проблема проблема
134,Здравствуйте. У меня другое. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня другое. Проблема. Это очень срочно и неудобно!,Другое,negative,high,False,здравствовать у я другой проблема это очень срочно и неудобный
135,Здравствуйте. У меня преподаватели. Проблема.,Здравствуйте. У меня преподаватели. Проблема.,Преподаватели,neutral,medium,True,здравствовать у я преподаватель проблема
136,Здравствуйте. У меня поступление. Проблема. Это очень срочно и неудобно!,Здравствуйте. У меня поступление. Проблема. Это очень срочно и неудобно!,Поступление,negative,low,False,здравствовать у я поступление проблема это очень срочно и неудобный
137,Здравствуйте. У меня преподаватели. Проблема.,Здравствуйте. У меня преподаватели. Проблема.,Преподаватели,neutral,medium,False,здравствовать у я преподаватель проблема
138,Здравствуйте. У меня оплата и финансы. Когда вернут переплату.,Здравствуйте. У меня оплата и финансы. Когда вернут переплату.,Оплата и финансы,neutral,high,False,здравствовать у я оплата и финансы когда вернуть переплата
