id,original_text,appeal_text,lemmatized,category,is_escalated,sentiment,urgency
11,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
12,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
13,"Здравствуйте, у меня вопрос по технические проблемы.","Здравствуйте, у меня вопрос по технические проблемы.",здравствовать у я вопрос по технический проблема,Технические проблемы,False,neutral,medium
14,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
15,"Обращался多次, но проблему по общежитие и проживание так и не решили.","Обращался多次, но проблему по общежитие и проживание так и не решили.",обращался多次 но проблема по общежитие и проживание так и не решить,Общежитие и проживание,True,negative,high
16,"Здравствуйте, у меня вопрос по оплата и финансы.","Здравствуйте, у меня вопрос по оплата и финансы.",здравствовать у я вопрос по оплата и финансы,Оплата и финансы,False,neutral,medium
17,"Здравствуйте, у меня вопрос по оплата и финансы.","Здравствуйте, у меня вопрос по оплата и финансы.",здравствовать у я вопрос по оплата и финансы,Оплата и финансы,False,neutral,medium
18,Это недопустимо! Требую реакции руководства по вопросу преподаватели и качество обучения.,Это недопустимо! Требую реакции руководства по вопросу преподаватели и качество обучения.,это недопустимый требовать реакция руководство по вопрос преподаватель и качество обучение,Преподаватели и качество обучения,True,negative,high
19,"Здравствуйте, у меня вопрос по общежитие и проживание.","Здравствуйте, у меня вопрос по общежитие и проживание.",здравствовать у я вопрос по общежитие и проживание,Общежитие и проживание,False,neutral,medium
20,Ситуация критичная. По административные вопросы ничего не решается уже долгое время.,Ситуация критичная. По административные вопросы ничего не решается уже долгое время.,ситуация критичный по административный вопрос ничто не решаться уже долгий время,Административные вопросы,True,negative,high
21,Это недопустимо! Требую реакции руководства по вопросу расписание.,Это недопустимо! Требую реакции руководства по вопросу расписание.,это недопустимый требовать реакция руководство по вопрос расписание,Расписание,True,negative,high
22,Ситуация критичная. По технические проблемы ничего не решается уже долгое время.,Ситуация критичная. По технические проблемы ничего не решается уже долгое время.,ситуация критичный по технический проблема ничто не решаться уже долгий время,Технические проблемы,True,negative,high
23,"Здравствуйте, у меня вопрос по поступление и приёмная комиссия.","Здравствуйте, у меня вопрос по поступление и приёмная комиссия.",здравствовать у я вопрос по поступление и приемный комиссия,Поступление и приёмная комиссия,False,neutral,medium
24,Ситуация критичная. По поступление и приёмная комиссия ничего не решается уже долгое время.,Ситуация критичная. По поступление и приёмная комиссия ничего не решается уже долгое время.,ситуация критичный по поступление и приемный комиссия ничто не решаться уже долгий время,Поступление и приёмная комиссия,True,negative,high
25,"Здравствуйте, у меня вопрос по оплата и финансы.","Здравствуйте, у меня вопрос по оплата и финансы.",здравствовать у я вопрос по оплата и финансы,Оплата и финансы,False,neutral,medium
26,"Здравствуйте, у меня вопрос по технические проблемы.","Здравствуйте, у меня вопрос по технические проблемы.",здравствовать у я вопрос по технический проблема,Технические проблемы,False,neutral,medium
27,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
28,"Здравствуйте, у меня вопрос по другое.","Здравствуйте, у меня вопрос по другое.",здравствовать у я вопрос по другой,Другое,False,neutral,medium
29,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
30,"Здравствуйте, у меня вопрос по оплата и финансы.","Здравствуйте, у меня вопрос по оплата и финансы.",здравствовать у я вопрос по оплата и финансы,Оплата и финансы,False,neutral,medium
31,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
32,Уже третий раз не могу решить вопрос по другое. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по другое. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по другой просить разобраться на высокий уровень,Другое,True,negative,high
33,Уже третий раз не могу решить вопрос по расписание. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по расписание. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по расписание просить разобраться на высокий уровень,Расписание,True,negative,high
34,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
35,"Обращался多次, но проблему по административные вопросы так и не решили.","Обращался多次, но проблему по административные вопросы так и не решили.",обращался多次 но проблема по административный вопрос так и не решить,Административные вопросы,True,negative,high
36,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
37,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
38,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
39,"Здравствуйте, у меня вопрос по другое.","Здравствуйте, у меня вопрос по другое.",здравствовать у я вопрос по другой,Другое,False,neutral,medium
40,"Здравствуйте, у меня вопрос по другое.","Здравствуйте, у меня вопрос по другое.",здравствовать у я вопрос по другой,Другое,False,neutral,medium
41,"Обращался多次, но проблему по оплата и финансы так и не решили.","Обращался多次, но проблему по оплата и финансы так и не решили.",обращался多次 но проблема по оплата и финансы так и не решить,Оплата и финансы,True,negative,high
42,"Здравствуйте, у меня вопрос по общежитие и проживание.","Здравствуйте, у меня вопрос по общежитие и проживание.",здравствовать у я вопрос по общежитие и проживание,Общежитие и проживание,False,neutral,medium
43,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
44,"Обращался多次, но проблему по административные вопросы так и не решили.","Обращался多次, но проблему по административные вопросы так и не решили.",обращался多次 но проблема по административный вопрос так и не решить,Административные вопросы,True,negative,high
45,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
46,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
47,"Здравствуйте, у меня вопрос по общежитие и проживание.","Здравствуйте, у меня вопрос по общежитие и проживание.",здравствовать у я вопрос по общежитие и проживание,Общежитие и проживание,False,neutral,medium
48,"Обращался多次, но проблему по общежитие и проживание так и не решили.","Обращался多次, но проблему по общежитие и проживание так и не решили.",обращался多次 но проблема по общежитие и проживание так и не решить,Общежитие и проживание,True,negative,high
49,"Обращался多次, но проблему по документы и справки так и не решили.","Обращался多次, но проблему по документы и справки так и не решили.",обращался多次 но проблема по документ и справка так и не решить,Документы и справки,True,negative,high
50,Это недопустимо! Требую реакции руководства по вопросу расписание.,Это недопустимо! Требую реакции руководства по вопросу расписание.,это недопустимый требовать реакция руководство по вопрос расписание,Расписание,True,negative,high
51,"Здравствуйте, у меня вопрос по технические проблемы.","Здравствуйте, у меня вопрос по технические проблемы.",здравствовать у я вопрос по технический проблема,Технические проблемы,False,neutral,medium
52,"Здравствуйте, у меня вопрос по общежитие и проживание.","Здравствуйте, у меня вопрос по общежитие и проживание.",здравствовать у я вопрос по общежитие и проживание,Общежитие и проживание,False,neutral,medium
53,"Здравствуйте, у меня вопрос по технические проблемы.","Здравствуйте, у меня вопрос по технические проблемы.",здравствовать у я вопрос по технический проблема,Технические проблемы,False,neutral,medium
54,Ситуация критичная. По общежитие и проживание ничего не решается уже долгое время.,Ситуация критичная. По общежитие и проживание ничего не решается уже долгое время.,ситуация критичный по общежитие и проживание ничто не решаться уже долгий время,Общежитие и проживание,True,negative,high
55,"Здравствуйте, у меня вопрос по оплата и финансы.","Здравствуйте, у меня вопрос по оплата и финансы.",здравствовать у я вопрос по оплата и финансы,Оплата и финансы,False,neutral,medium
56,Это недопустимо! Требую реакции руководства по вопросу другое.,Это недопустимо! Требую реакции руководства по вопросу другое.,это недопустимый требовать реакция руководство по вопрос другой,Другое,True,negative,high
57,"Здравствуйте, у меня вопрос по технические проблемы.","Здравствуйте, у меня вопрос по технические проблемы.",здравствовать у я вопрос по технический проблема,Технические проблемы,False,neutral,medium
58,"Здравствуйте, у меня вопрос по общежитие и проживание.","Здравствуйте, у меня вопрос по общежитие и проживание.",здравствовать у я вопрос по общежитие и проживание,Общежитие и проживание,False,neutral,medium
59,"Здравствуйте, у меня вопрос по общежитие и проживание.","Здравствуйте, у меня вопрос по общежитие и проживание.",здравствовать у я вопрос по общежитие и проживание,Общежитие и проживание,False,neutral,medium
60,Ситуация критичная. По расписание ничего не решается уже долгое время.,Ситуация критичная. По расписание ничего не решается уже долгое время.,ситуация критичный по расписание ничто не решаться уже долгий время,Расписание,True,negative,high
61,"Здравствуйте, у меня вопрос по другое.","Здравствуйте, у меня вопрос по другое.",здравствовать у я вопрос по другой,Другое,False,neutral,medium
62,Ситуация критичная. По другое ничего не решается уже долгое время.,Ситуация критичная. По другое ничего не решается уже долгое время.,ситуация критичный по другой ничто не решаться уже долгий время,Другое,True,negative,high
63,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
64,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
65,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
66,Это недопустимо! Требую реакции руководства по вопросу поступление и приёмная комиссия.,Это недопустимо! Требую реакции руководства по вопросу поступление и приёмная комиссия.,это недопустимый требовать реакция руководство по вопрос поступление и приемный комиссия,Поступление и приёмная комиссия,True,negative,high
67,"Здравствуйте, у меня вопрос по другое.","Здравствуйте, у меня вопрос по другое.",здравствовать у я вопрос по другой,Другое,False,neutral,medium
68,Это недопустимо! Требую реакции руководства по вопросу расписание.,Это недопустимо! Требую реакции руководства по вопросу расписание.,это недопустимый требовать реакция руководство по вопрос расписание,Расписание,True,negative,high
69,"Здравствуйте, у меня вопрос по общежитие и проживание.","Здравствуйте, у меня вопрос по общежитие и проживание.",здравствовать у я вопрос по общежитие и проживание,Общежитие и проживание,False,neutral,medium
70,Это недопустимо! Требую реакции руководства по вопросу расписание.,Это недопустимо! Требую реакции руководства по вопросу расписание.,это недопустимый требовать реакция руководство по вопрос расписание,Расписание,True,negative,high
71,Ситуация критичная. По расписание ничего не решается уже долгое время.,Ситуация критичная. По расписание ничего не решается уже долгое время.,ситуация критичный по расписание ничто не решаться уже долгий время,Расписание,True,negative,high
72,"Здравствуйте, у меня вопрос по оплата и финансы.","Здравствуйте, у меня вопрос по оплата и финансы.",здравствовать у я вопрос по оплата и финансы,Оплата и финансы,False,neutral,medium
73,Уже третий раз не могу решить вопрос по общежитие и проживание. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по общежитие и проживание. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по общежитие и проживание просить разобраться на высокий уровень,Общежитие и проживание,True,negative,high
74,Ситуация критичная. По расписание ничего не решается уже долгое время.,Ситуация критичная. По расписание ничего не решается уже долгое время.,ситуация критичный по расписание ничто не решаться уже долгий время,Расписание,True,negative,high
75,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
76,Это недопустимо! Требую реакции руководства по вопросу поступление и приёмная комиссия.,Это недопустимо! Требую реакции руководства по вопросу поступление и приёмная комиссия.,это недопустимый требовать реакция руководство по вопрос поступление и приемный комиссия,Поступление и приёмная комиссия,True,negative,high
77,"Здравствуйте, у меня вопрос по общежитие и проживание.","Здравствуйте, у меня вопрос по общежитие и проживание.",здравствовать у я вопрос по общежитие и проживание,Общежитие и проживание,False,neutral,medium
78,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
79,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
80,"Здравствуйте, у меня вопрос по оплата и финансы.","Здравствуйте, у меня вопрос по оплата и финансы.",здравствовать у я вопрос по оплата и финансы,Оплата и финансы,False,neutral,medium
81,"Обращался多次, но проблему по расписание так и не решили.","Обращался多次, но проблему по расписание так и не решили.",обращался多次 но проблема по расписание так и не решить,Расписание,True,negative,high
82,"Здравствуйте, у меня вопрос по поступление и приёмная комиссия.","Здравствуйте, у меня вопрос по поступление и приёмная комиссия.",здравствовать у я вопрос по поступление и приемный комиссия,Поступление и приёмная комиссия,False,neutral,medium
83,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
84,"Обращался多次, но проблему по технические проблемы так и не решили.","Обращался多次, но проблему по технические проблемы так и не решили.",обращался多次 но проблема по технический проблема так и не решить,Технические проблемы,True,negative,high
85,"Обращался多次, но проблему по документы и справки так и не решили.","Обращался多次, но проблему по документы и справки так и не решили.",обращался多次 но проблема по документ и справка так и не решить,Документы и справки,True,negative,high
86,"Здравствуйте, у меня вопрос по технические проблемы.","Здравствуйте, у меня вопрос по технические проблемы.",здравствовать у я вопрос по технический проблема,Технические проблемы,False,neutral,medium
87,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
88,"Здравствуйте, у меня вопрос по оплата и финансы.","Здравствуйте, у меня вопрос по оплата и финансы.",здравствовать у я вопрос по оплата и финансы,Оплата и финансы,False,neutral,medium
89,"Обращался多次, но проблему по другое так и не решили.","Обращался多次, но проблему по другое так и не решили.",обращался多次 но проблема по другой так и не решить,Другое,True,negative,high
90,Это недопустимо! Требую реакции руководства по вопросу документы и справки.,Это недопустимо! Требую реакции руководства по вопросу документы и справки.,это недопустимый требовать реакция руководство по вопрос документ и справка,Документы и справки,True,negative,high
91,"Здравствуйте, у меня вопрос по другое.","Здравствуйте, у меня вопрос по другое.",здравствовать у я вопрос по другой,Другое,False,neutral,medium
92,Это недопустимо! Требую реакции руководства по вопросу расписание.,Это недопустимо! Требую реакции руководства по вопросу расписание.,это недопустимый требовать реакция руководство по вопрос расписание,Расписание,True,negative,high
93,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
94,"Обращался多次, но проблему по общежитие и проживание так и не решили.","Обращался多次, но проблему по общежитие и проживание так и не решили.",обращался多次 но проблема по общежитие и проживание так и не решить,Общежитие и проживание,True,negative,high
95,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
96,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
97,"Здравствуйте, у меня вопрос по поступление и приёмная комиссия.","Здравствуйте, у меня вопрос по поступление и приёмная комиссия.",здравствовать у я вопрос по поступление и приемный комиссия,Поступление и приёмная комиссия,False,neutral,medium
98,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
99,Ситуация критичная. По расписание ничего не решается уже долгое время.,Ситуация критичная. По расписание ничего не решается уже долгое время.,ситуация критичный по расписание ничто не решаться уже долгий время,Расписание,True,negative,high
100,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
101,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
102,"Здравствуйте, у меня вопрос по другое.","Здравствуйте, у меня вопрос по другое.",здравствовать у я вопрос по другой,Другое,False,neutral,medium
103,Ситуация критичная. По оплата и финансы ничего не решается уже долгое время.,Ситуация критичная. По оплата и финансы ничего не решается уже долгое время.,ситуация критичный по оплата и финансы ничто не решаться уже долгий время,Оплата и финансы,True,negative,high
104,"Здравствуйте, у меня вопрос по оплата и финансы.","Здравствуйте, у меня вопрос по оплата и финансы.",здравствовать у я вопрос по оплата и финансы,Оплата и финансы,False,neutral,medium
105,Это недопустимо! Требую реакции руководства по вопросу другое.,Это недопустимо! Требую реакции руководства по вопросу другое.,это недопустимый требовать реакция руководство по вопрос другой,Другое,True,negative,high
106,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
107,"Здравствуйте, у меня вопрос по технические проблемы.","Здравствуйте, у меня вопрос по технические проблемы.",здравствовать у я вопрос по технический проблема,Технические проблемы,False,neutral,medium
108,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
109,Это недопустимо! Требую реакции руководства по вопросу расписание.,Это недопустимо! Требую реакции руководства по вопросу расписание.,это недопустимый требовать реакция руководство по вопрос расписание,Расписание,True,negative,high
110,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
111,Ситуация критичная. По поступление и приёмная комиссия ничего не решается уже долгое время.,Ситуация критичная. По поступление и приёмная комиссия ничего не решается уже долгое время.,ситуация критичный по поступление и приемный комиссия ничто не решаться уже долгий время,Поступление и приёмная комиссия,True,negative,high
112,"Здравствуйте, у меня вопрос по поступление и приёмная комиссия.","Здравствуйте, у меня вопрос по поступление и приёмная комиссия.",здравствовать у я вопрос по поступление и приемный комиссия,Поступление и приёмная комиссия,False,neutral,medium
113,"Здравствуйте, у меня вопрос по поступление и приёмная комиссия.","Здравствуйте, у меня вопрос по поступление и приёмная комиссия.",здравствовать у я вопрос по поступление и приемный комиссия,Поступление и приёмная комиссия,False,neutral,medium
114,"Здравствуйте, у меня вопрос по оплата и финансы.","Здравствуйте, у меня вопрос по оплата и финансы.",здравствовать у я вопрос по оплата и финансы,Оплата и финансы,False,neutral,medium
